rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
505,Michaels Cos.,496,5362 ,3.20%,390.50 ,3.30%,2300 ,3586 ,30500,Carl S. Rubin,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Irving,TX,32.814017699999994,-96.9488945
506,Advanced Micro Devices,565,5329 ,24.70%,43.00 ,-,3540 ,9740 ,8900,Lisa T. Su,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Santa Clara,CA,37.354107899999995,-121.9552356
507,Zoetis,521,5307 ,8.60%,864.00 ,5.20%,8586 ,40524 ,9200,Juan Ramï¿½n Alaix,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,-,Parsippany-Troy Hills,NJ,40.865286499999996,-74.41738769999999
508,Williams-Sonoma,506,5292 ,4.10%,259.50 ,-15.00%,2786 ,4441 ,19350,Laura J. Alber,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,-,SF,CA,37.7749295,-122.4194155
509,Fortune Brands Home & Security,511,5283 ,6.00%,472.60 ,14.40%,5511 ,8717 ,23870,Christopher J. Klein,Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",-,Deerfield,IL,42.171136499999996,-87.8445119
510,Big Lots,495,5271 ,1.40%,189.80 ,24.20%,1652 ,1830 ,22900,Lisa M. Bachmann,Executive V.P.-Principal Executive Officer,Retailing,Specialty Retailers: Other,-,Columbus,OH,39.9611755,-82.9987942
511,Robert Half International,493,5267 ,0.30%,290.60 ,-15.40%,1868 ,7194 ,17200,Harold M. Messmer Jr.,Chairman &  Chief Executive Officer,Business Services,Temporary Help,-,Menlo Park,CA,37.4529598,-122.1817252
512,Post Holdings,508,5226 ,4.00%,48.30 ,-,11877 ,4968 ,11410,Robert V. Vitale,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,-,St. Louis,MO,38.6270025,-90.1994042
513,Hasbro,509,5210 ,3.80%,396.60 ,-28.10%,5290 ,10468 ,5400,Brian D. Goldner,Chairman &  Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,Pawtucket,RI,41.878710999999996,-71.38255579999999
514,Hanover Insurance Group,517,5184 ,4.80%,186.20 ,20.10%,15470 ,5017 ,4600,John C. Roche,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,Worcester,MA,42.262593200000005,-71.8022934
515,Navient,514,5179 ,4.30%,292.00 ,-57.10%,114991 ,3456 ,6700,John F. Remondi,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,-,Wilmington,DE,39.7390721,-75.5397878
516,Intuit,527,5177 ,7.20%,971.00 ,-0.80%,4068 ,44397 ,8200,Brad D. Smith,"Chairman, President &  Chief Executive Officer",Technology,Computer Software,-,Mountain View,CA,37.3860517,-122.08385109999999
517,Domtar,505,5157 ,1.20%,(258.00),-301.60%,5212 ,2667 ,10000,John D. Williams,"President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,-,Fort Mill,SC,35.007369700000005,-80.9450759
518,Marathon Oil,536,5153 ,10.80%,(5723.00),-,22012 ,13707 ,2300,Lee M. Tillman,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",-,Houston,TX,29.7604267,-95.36980279999999
519,Cerner,530,5142 ,7.20%,867.00 ,36.20%,6469 ,19291 ,26000,D. Brent Shafer,Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,North Kansas City,MO,39.1429081,-94.5729781
520,Analog Devices,660,5108 ,49.30%,727.30 ,-15.60%,21141 ,33700 ,15300,Vincent T. Roche,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Norwood,MA,42.1943909,-71.19896949999999
521,Telephone & Data Systems,504,5044 ,-1.20%,153.00 ,255.80%,9295 ,3115 ,9900,LeRoy T. Carlson Jr.,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,-,Chicago,IL,41.8781136,-87.62979820000001
522,Essendant,487,5037 ,-6.20%,(267.00),-518.10%,1774 ,294 ,6400,Richard D. Phillips,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,-,Deerfield,IL,42.171136499999996,-87.8445119
523,Sonoco Products,531,5037 ,5.30%,175.30 ,-38.80%,4558 ,4829 ,21000,Robert C. Tiede,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Hartsville,SC,34.3740431,-80.0734005
524,Juniper Networks,510,5027 ,0.70%,306.20 ,-48.30%,9834 ,8364 ,9381,Rami Rahim,Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,-,Sunnyvale,CA,37.368829999999996,-122.03634960000001
525,Commercial Metals,535,4999 ,7.50%,46.30 ,-15.40%,2975 ,2394 ,8797,Barbara R. Smith,"Chairman, President &  Chief Executive Officer",Materials,Metals,-,Irving,TX,32.814017699999994,-96.9488945
526,CSRA,570,4993 ,17.50%,304.00 ,248.80%,4888 ,6759 ,18500,Lawrence B. Prior III,Chief Executive Officer &  Director,Technology,Information Technology Services,-,Falls Church,VA,38.882334,-77.17109140000001
527,Under Armour,528,4977 ,3.10%,(48.30),-118.80%,4006 ,6756 ,11350,Kevin A. Plank,Chairman &  Chief Executive Officer,Apparel,Apparel,-,Baltimore,MD,39.2903848,-76.6121893
528,RPM International,529,4958 ,3.00%,181.80 ,-48.70%,5090 ,6372 ,14318,Frank C. Sullivan,Chairman &  Chief Executive Officer,Chemicals,Chemicals,-,Medina,OH,41.143245,-81.8552196
529,Total System Services,579,4928 ,18.20%,586.20 ,83.40%,6332 ,15676 ,11800,M. Troy Woods,"Chairman, President &  Chief Executive Officer",Business Services,Financial Data Services,-,Columbus,GA,32.4609764,-84.9877094
530,Levi Strauss,542,4904 ,7.70%,281.40 ,-3.30%,3355 ,0 ,13800,Charles V. Bergh,"President, Chief Executive Officer &  Director",Apparel,Apparel,-,SF,CA,37.7749295,-122.4194155
531,Brunswick,547,4898 ,9.10%,146.40 ,-47.00%,3358 ,5188 ,15116,Mark D. Schwabero,Chairman &  Chief Executive Officer,Transportation,Transportation Equipment,-,Libertyville,IL,42.2333571,-87.9259058
532,YRC Worldwide,534,4891 ,4.10%,(10.80),-150.20%,1586 ,299 ,32000,Darren D. Hawkins,Chief Executive Officer,Transportation,"Trucking, Truck Leasing",-,Overland Park,KS,38.9822282,-94.6707917
533,Mattel,474,4882 ,-10.50%,(1053.80),-431.40%,6239 ,4523 ,28000,Ynon Kreiz,Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,El Segundo,CA,33.9191799,-118.4164652
534,FM Global,557,4875 ,11.50%,254.10 ,-68.10%,23247 ,-,5441,Thomas A. Lawson,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),-,Johnston,RI,41.820519899999994,-71.512617
535,NiSource,545,4875 ,8.50%,128.50 ,-61.20%,19962 ,8068 ,8175,Joseph Hamrock,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Merrillville,IN,41.482814399999995,-87.3328139
536,Caesars Entertainment,541,4852 ,6.50%,(375.00),-,25512 ,7838 ,65000,Mark P. Frissora,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.169941200000004,-115.13982959999998
537,Electronic Arts,556,4845 ,10.20%,967.00 ,-16.30%,7718 ,37188 ,8800,Andrew Wilson,Chief Executive Officer &  Director,Technology,Entertainment,-,Redwood City,CA,37.4852152,-122.2363548
538,Dynegy,561,4842 ,12.10%,76.00 ,-,11771 ,1952 ,2489,Curtis A. Morgan,CEO-Vistra Energy,Energy,Energy,-,Houston,TX,29.7604267,-95.36980279999999
539,McCormick,553,4834 ,9.60%,477.40 ,1.10%,10386 ,13964 ,11700,Lawrence E. Kurzius,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,-,Sparks Glencoe,MD,39.530938899999995,-76.6458043
540,T. Rowe Price,573,4793 ,13.50%,1497.80 ,23.30%,7535 ,26409 ,6881,William J. Stromberg,"President, Chief Executive Officer &  Director",Financials,Securities,-,Baltimore,MD,39.2903848,-76.6121893
541,Orbital ATK,549,4764 ,6.90%,310.00 ,5.80%,5666 ,7665 ,13900,Blake Larson,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,-,Sterling,VA,38.962489899999994,-77.4380485
542,Tutor Perini,513,4757 ,-4.30%,148.40 ,54.90%,4264 ,1098 ,10061,Ronald N. Tutor,Chairman &  Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",-,Los Angeles,CA,34.3058279,-118.45719740000001
543,Brookdale Senior Living,512,4747 ,-4.60%,(571.40),-,7675 ,1252 ,62550,Lucinda M. Baier,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Brentwood,TN,36.0331164,-86.7827772
544,Huntington Bancshares,610,4740 ,25.30%,1186.00 ,66.60%,104185 ,16209 ,15770,Stephen D. Steinour,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,-,Columbus,OH,39.9611755,-82.9987942
545,Wayfair,666,4721 ,39.70%,(244.60),-,1213 ,5977 ,7751,Niraj S. Shah,"Co-Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,-,Boston,MA,42.360082500000004,-71.0588801
546,Rush Enterprises,575,4714 ,11.80%,172.10 ,324.20%,2890 ,1609 ,6825,W. M. Rush,"Chairman, President &  Chief Executive Officer",Retailing,"Automotive Retailing, Services",-,New Braunfels,TX,29.7030024,-98.1244531
547,Xylem,611,4707 ,24.80%,331.00 ,27.30%,6860 ,13839 ,16200,Patrick K. Decker,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Rye Brook,NY,41.0192641,-73.68346209999999
548,Neiman Marcus Group,515,4706 ,-4.90%,(531.80),-,7704 ,-,13700,Geoffroy van Raemdonck,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Dallas,TX,32.7766642,-96.7969879
549,Hyatt Hotels,552,4685 ,5.80%,249.00 ,22.10%,7672 ,9054 ,45000,Mark S. Hoplamazian,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Chicago,IL,41.8781136,-87.62979820000001
550,Sprouts Farmers Market,585,4665 ,15.30%,158.40 ,27.50%,1582 ,3122 ,27000,Amin N. Maredia,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,-,Phoenix,AZ,33.4483771,-112.07403729999999
551,Diebold Nixdorf,672,4609 ,38.00%,(233.10),-,5250 ,1170 ,23000,Gerrard B. Schmid,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",-,North Canton,OH,40.875890999999996,-81.40233559999999
552,Roper Technologies,609,4608 ,21.60%,971.80 ,47.50%,14316 ,28862 ,14236,Brian D. Jellison,"Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Sarasota,FL,27.3364347,-82.5306527
553,Smart & Final Stores,559,4571 ,5.30%,(138.90),-1172.90%,1810 ,412 ,7570,David G. Hirz,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,-,Commerce,CA,34.0005691,-118.1597929
554,CommScope Holding,518,4561 ,-7.40%,193.80 ,-13.00%,7042 ,7670 ,20000,Marvin S. Edwards Jr.,"President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,-,Newton,NC,35.7344538,-81.3444573
555,Tapestry,546,4488.30 ,-0.10%,591.00 ,28.30%,5831.60 ,14988 ,12450,Victor Luis,Chairman &  Chief Executive Officer,Apparel,Apparel,-,New York City,NY,40.7127753,-74.0059728
556,Diplomat Pharmacy,554,4485 ,1.70%,15.50 ,-45.10%,1940 ,1493 ,2298,Brian Griffin,Interim Chief Executive Officer &  Director,Health Care,Health Care: Pharmacy and Other Services,-,Flint,MI,43.012527399999996,-83.6874562
557,Chipotle Mexican Grill,599,4476 ,14.70%,176.30 ,668.40%,2046 ,9025 ,68890,Brian R. Niccol,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,-,Denver,CO,39.739235799999996,-104.990251
558,Agilent Technologies,576,4472 ,6.40%,684.00 ,48.10%,8426 ,21574 ,13500,Michael R. McMullen,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Santa Clara,CA,37.354107899999995,-121.9552356
559,Science Applications International,551,4454 ,0.30%,179.00 ,25.20%,2073 ,3332 ,15391,Anthony J. Moraco,Chairman &  Chief Executive Officer,Technology,Information Technology Services,-,Reston,VA,38.9586307,-77.35700279999999
560,MDU Resources Group,569,4444 ,4.50%,281.20 ,336.40%,6335 ,5500 ,10140,David L. Goodin,"President, Chief Executive Officer &  Director",Energy,Energy,-,Bismarck,ND,46.808326799999996,-100.7837392
561,Select Medical Holdings,563,4444 ,3.70%,177.20 ,53.50%,5127 ,2313 ,36050,David S. Chernow,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Mechanicsburg,PA,40.2142565,-77.0085876
562,Boise Cascade,597,4432 ,13.30%,83.00 ,116.90%,1607 ,1500 ,6370,Thomas K. Corrick,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,-,Boise,ID,43.6150186,-116.2023137
563,National General Holdings,643,4431 ,24.70%,105.80 ,-39.80%,8440 ,2598 ,7570,Barry Karfunkel,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,New York,NY,40.7127753,-74.0059728
564,SCANA,572,4407 ,4.30%,(119.00),-120.00%,18739 ,5356 ,5228,Jimmy E. Addison,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Cayce,SC,33.9657091,-81.0739827
565,Graphic Packaging Holding,562,4404 ,2.50%,300.20 ,31.70%,4863 ,4754 ,13000,Michael P. Doss,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Atlanta,GA,33.7489954,-84.3879824
566,Fastenal,591,4391 ,10.80%,578.60 ,15.80%,2911 ,15703 ,20565,Daniel L. Florness,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Winona,MN,44.0553908,-91.6663523
567,Schneider National,,4384 ,8.40%,389.90 ,148.60%,3331 ,4610 ,19600,Christopher B. Lofgren,"President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",-,Green Bay,WI,44.51331879999999,-88.0132958
568,Laureate Education,571,4378 ,3.20%,91.50 ,-75.40%,7392 ,2578 ,54500,Eilif Serck-Hanssen,Chairman &  Chief Executive Officer,Business Services,Education,-,Baltimore,MD,39.2903848,-76.6121893
569,Beacon Roofing Supply,582,4377 ,6.00%,100.90 ,12.20%,3450 ,3609 ,5406,Paul M. Isabella,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Herndon,VA,38.9695545,-77.38609759999999
570,KB Home,634,4369 ,21.50%,180.60 ,71.00%,5042 ,2468 ,1915,Jeffrey T. Mezger,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Los Angeles,CA,34.0522342,-118.24368490000002
571,Equinix,624,4368 ,19.30%,233.00 ,83.70%,18692 ,33128 ,7273,Peter F. Van Camp,"Chairman, President &  Interim Chief Executive Officer",Financials,Real estate,-,Redwood City,CA,37.4852152,-122.2363548
572,Terex,445,4363 ,-25.30%,128.70 ,-,3463 ,3030 ,10700,John L. Garrison Jr.,"President, Chief Executive Officer &  Director",Industrials,Construction and Farm Machinery,-,Westport,CT,41.141471700000004,-73.35790490000001
573,Crown Castle International,596,4356 ,11.10%,444.60 ,24.50%,32230 ,45452 ,4500,Jay A. Brown,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Houston,TX,29.7604267,-95.36980279999999
574,CACI International,615,4355 ,16.30%,163.70 ,14.60%,3911 ,3727 ,18600,Kenneth Asbury,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Arlington,VA,38.8816208,-77.0909809
575,Watsco,574,4342 ,2.90%,208.20 ,13.90%,2047 ,6752 ,5200,Albert H. Nahmad,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,-,Miami,FL,25.7616798,-80.1917902
576,Coca-Cola Bottling,701,4324 ,37.00%,96.50 ,92.50%,3073 ,1615 ,15500,J. Frank Harrison III,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Beverages,-,Charlotte,NC,35.2270869,-80.8431267
577,Welltower,564,4317 ,0.80%,522.80 ,-51.50%,27944 ,20246 ,392,Thomas J. DeRosa,Chairman &  Chief Executive Officer,Financials,Real estate,-,Toledo,OH,41.6528052,-83.53786740000001
578,ADT,,4316 ,46.30%,342.60 ,-,17015 ,5941 ,18000,Timothy J. Whall,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,-,Boca Raton,FL,26.3683064,-80.1289321
579,Ametek,604,4300 ,12.00%,681.50 ,33.10%,7796 ,17590 ,16900,David A. Zapico,Chairman &  Chief Executive Officer,Technology,"Scientific,Photographic and  Control Equipment",-,Berwyn,PA,40.045823999999996,-75.4395931
580,CNO Financial Group,590,4297 ,7.80%,175.60 ,-51.00%,33110 ,3630 ,3300,Gary C. Bhojwani,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,Carmel,IN,39.978371,-86.1180435
581,Camping World Holdings,648,4285 ,21.80%,28.40 ,-85.20%,2562 ,3084 ,10227,Marcus A. Lemonis,Chairman &  Chief Executive Officer,Retailing,"Automotive Retailing, Services",-,Lincolnshire,IL,42.190024900000004,-87.90840390000001
582,LPL Financial Holdings,584,4282 ,5.70%,238.90 ,24.50%,5359 ,5510 ,3736,Dan H. Arnold,"President, Chief Executive Officer &  Director",Financials,Securities,-,Boston,MA,42.360082500000004,-71.0588801
583,Noble Energy,653,4256 ,21.90%,(1118.00),-,21476 ,14913 ,2277,David L. Stover,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Houston,TX,29.7604267,-95.36980279999999
584,Bloomin Brands,568,4213 ,-0.90%,100.20 ,140.10%,2573 ,2256 ,94000,Elizabeth A. Smith,"Chairman, President &  Chief Executive Officer","Hotels, Restaurants &  Leisure",Food Services,-,Tampa,FL,27.950575,-82.4571776
585,Moodys,631,4204 ,16.60%,1000.60 ,275.30%,8594 ,30826 ,11896,Raymond W. McDaniel Jr.,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,-,New York,NY,40.7127753,-74.0059728
586,Symantec,465,4191 ,-24.70%,(106.00),-104.30%,18174 ,16067 ,13000,Gregory S. Clark,Chairman &  Chief Executive Officer,Technology,Computer Software,-,Mountain View,CA,37.3860517,-122.08385109999999
587,Amkor Technology,600,4187 ,7.50%,260.70 ,58.80%,4522 ,2425 ,29300,Stephen D. Kelley,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Tempe,AZ,33.4255104,-111.9400054
588,Skechers U.S.A.,638,4181 ,16.90%,179.20 ,-26.40%,2735 ,6231 ,8150,Robert Greenberg,Chairman &  Chief Executive Officer,Apparel,Apparel,-,Manhattan Beach,CA,33.884736100000005,-118.41090890000001
589,KBR,567,4171 ,-2.30%,434.00 ,-,3674 ,2271 ,20000,Stuart Bradie,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",-,Houston,TX,29.7604267,-95.36980279999999
590,Tiffany,588,4170 ,4.20%,370.10 ,-17.00%,5468 ,12149 ,13100,Alessandro Bogliolo,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,New York,NY,40.7127753,-74.0059728
591,Torchmark,580,4156 ,0.00%,1454.50 ,164.60%,23475 ,9583 ,3102,Gary L. Coleman/Larry M. Hutchison,Co-Chairman &  Co-Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,McKinney,TX,33.197246500000006,-96.6397822
592,Broadridge Financial Solutions,749,4143 ,43.00%,326.80 ,6.30%,3150 ,12796 ,10000,Richard J. Daly,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Lake Success,NY,40.7706572,-73.7176312
593,Quad/Graphics,560,4131.40 ,-4.60%,107.20 ,138.80%,2452.40 ,1336 ,21100,J. Joel Quadracci,"Chairman, President &  Chief Executive Officer",Media,"Publishing, Printing",-,Sussex,WI,43.13418,-88.22294000000001
594,CF Industries Holdings,622,4130 ,12.10%,357.70 ,-,13463 ,8805 ,2950,W. Anthony Will,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Deerfield,IL,42.171136499999996,-87.8445119
595,Carlisle,623,4090 ,11.30%,365.50 ,46.10%,5300 ,6408 ,14800,D. Christian Koch,"President, Chief Executive Officer &  Director",Materials,"Building Materials, Glass",-,Scottsdale,AZ,33.494170399999994,-111.9260519
596,Silgan Holdings,629,4090 ,13.20%,269.70 ,75.80%,4645 ,3074 ,12515,Anthony J. Allott,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Stamford,CT,41.0534302,-73.53873409999999
597,Bemis,587,4046 ,1.00%,94.00 ,-60.20%,3700 ,4002 ,16582,William F. Austen,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Neenah,WI,44.1858193,-88.462609
598,CA,583,4036 ,-0.40%,775.00 ,-1.00%,12610 ,14134 ,11800,Michael P. Gregoire,Chairman &  Chief Executive Officer,Technology,Computer Software,-,New York,NY,40.7127753,-74.0059728
599,Hub Group,640,4035 ,12.90%,135.20 ,80.70%,1671 ,1439 ,4377,David P. Yeager,Chairman &  Chief Executive Officer,Transportation,Transportation and Logistics,-,Oak Brook,IL,41.8397865,-87.9535534
600,Worldpay,637,4027 ,12.50%,130.10 ,-39.00%,8667 ,25915 ,3560,Charles D. Drucker/Philip E.R. Jansen,Chairman &  Co-Chief Executive Officer,Business Services,Financial Data Services,-,Cincinnati,OH,39.2807348,-84.3173878
601,Ingles Markets,608,4003 ,5.50%,53.90 ,-0.60%,1733 ,686 ,17250,James W. Lanning,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,-,Black Mountain,NC,35.6178951,-82.3212302
602,Snap-on,618,4000 ,7.80%,557.70 ,2.10%,5249 ,8367 ,12600,Nicholas T. Pinchuk,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Kenosha,WI,42.5847425,-87.8211854
603,Dentsply Sirona,614,3993 ,6.60%,(1550.00),-460.50%,10375 ,11439 ,16100,Donald M. Casey Jr.,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,-,York,PA,39.9625984,-76.727745
604,Calumet Specialty Products,632,3992 ,10.90%,(103.80),-,2689 ,541 ,1600,Timothy Go,Chief Executive Officer,Energy,Petroleum Refining,-,Indianapolis,IN,39.768403,-86.158068
605,Global Payments,669,3975 ,17.90%,468.40 ,132.20%,12998 ,17789 ,10000,Jeffrey S. Sloan,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Atlanta,GA,33.7489954,-84.3879824
606,Encompass Health,619,3971.40 ,7.10%,256.30 ,3.50%,4893.70 ,5611 ,30935,Mark J. Tarr,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Birmingham,AL,33.5206608,-86.80249
607,Martin Marietta Materials,607,3966 ,3.80%,713.30 ,67.70%,8993 ,13019 ,8406,C. Howard Nye,"Chairman, President &  Chief Executive Officer",Materials,"Building Materials, Glass",-,Raleigh,NC,35.7795897,-78.6381787
608,Nasdaq,620,3965 ,7.00%,734.00 ,579.60%,15786 ,14361 ,4734,Adena T. Friedman,"President, Chief Executive Officer &  Director",Financials,Securities,-,New York,NY,40.7127753,-74.0059728
609,Leggett & Platt,613,3944 ,5.20%,292.60 ,-24.20%,3551 ,5842 ,22200,Karl G. Glassman,"President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",-,Carthage,MO,37.176446999999996,-94.3102228
610,Universal Forest Products,687,3941 ,21.60%,119.50 ,18.10%,1465 ,1986 ,10000,Matthew J. Missad,Chairman &  Chief Executive Officer,Materials,"Building Materials, Glass",-,Grand Rapids,MI,42.9633599,-85.6680863
611,Sally Beauty Holdings,592,3938 ,-0.40%,215.10 ,-3.50%,2123 ,2058 ,21755,Christian A. Brickman,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,-,Denton,TX,33.2148412,-97.13306829999999
612,Flowers Foods,594,3921 ,-0.20%,150.10 ,-8.30%,2660 ,4604 ,9800,Allen L. Shiver,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,-,Thomasville,GA,30.8365815,-83.9787808
613,Barnes & Noble,555,3895 ,-11.50%,22.00 ,-,1933 ,360 ,18592,Demos Parneros,Chief Executive Officer &  Director,Retailing,Specialty Retailers: Other,-,New York,NY,40.7127753,-74.0059728
614,American Equity Investment Life,883,3892 ,75.30%,174.60 ,109.80%,62031 ,2639 ,515,John M. Matovina,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",-,West Des Moines,IA,41.5772115,-93.711332
615,Vulcan Materials,635,3890 ,8.30%,601.20 ,43.30%,9505 ,15110 ,8287,J. Thomas Hill,"Chairman, President &  Chief Executive Officer",Materials,"Building Materials, Glass",-,Birmingham,AL,33.5206608,-86.80249
616,Taylor Morrison Home,644,3885 ,9.40%,91.20 ,73.40%,4326 ,2610 ,1800,Sheryl D. Palmer,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Scottsdale,AZ,33.494170399999994,-111.9260519
617,Westinghouse Air Brake,742,3882 ,32.40%,262.30 ,-14.00%,6580 ,7822 ,18000,Raymond T. Betler,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Wilmerding,PA,40.3909023,-79.8100472
618,Crestwood Equity Partners,805,3881 ,54.00%,(191.90),-,4285 ,1824 ,954,Robert G Phillips,"Chairman, President &  Chief Executive Officer",Energy,Energy,-,Houston,TX,29.7604267,-95.36980279999999
619,Iron Mountain,649,3846 ,9.10%,183.80 ,75.40%,10972 ,9375 ,24000,William L. Meaney,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,-,Boston,MA,42.360082500000004,-71.0588801
620,Lennox International,627,3840 ,5.40%,305.70 ,10.00%,1892 ,8415 ,11450,Todd M. Bluedorn,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,-,Richardson,TX,32.948333500000004,-96.72985190000001
621,General Cable,603,3837 ,-0.50%,(56.60),-,2235 ,1499 ,8500,Massimo Battaini,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",-,Highland Heights,KY,39.033116899999996,-84.45188540000001
622,American Eagle Outfitters,630,3796 ,5.10%,204.20 ,-3.90%,1816 ,3540 ,24100,Jay L. Schottenstein,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Pittsburgh,PA,40.440624799999995,-79.9958864
623,Church & Dwight,652,3776 ,8.10%,743.40 ,62.00%,6015 ,12294 ,4700,Matthew T. Farrell,"President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,-,Ewing Township,NJ,40.2599864,-74.7909125
624,Platform Specialty Products,636,3776 ,5.30%,(296.20),-,10252 ,2774 ,7850,Rakesh Sachdev,Chief Executive Officer &  Director,Chemicals,Chemicals,-,West Palm Beach,FL,26.7153424,-80.0533746
625,JELD-WEN Holding,,3764 ,2.40%,10.80 ,-97.10%,2863 ,3257 ,21000,Gary S. Michel,Chairman &  Interim Chief Executive Officer,Materials,"Building Materials, Glass",-,Charlotte,NC,35.2270869,-80.8431267
